orden,id,nombre_original,nombre_alternativo,ruta_relativa,distancia_km,puntos,elevacion,elevacion_min_m,elevacion_max_m,es_circuito,estado_revision,observaciones_automaticas,sha256_geometria
139,gilles-139-sdo-lateral-arriba,SDO-lateral arriba,,gilles-139-sdo-lateral-arriba/ruta.gpx,0.364,20,ausente,,,no,pendiente,tramo-muy-corto|sin-elevacion,c9a6096a52acd3fa99dff2c524a487584c5a92adeacfbeadfbd2b25e5565ac34
140,gilles-140-sdo-subida-1,SDO-subida-1,,gilles-140-sdo-subida-1/ruta.gpx,1.860,93,ausente,,,no,pendiente,tramo-corto|nombre-con-sufijo-numerico|sin-elevacion,822170535e77ea07b72f84799bb39b00e6982936d63fef3c0bdd6ae06758d049
141,gilles-141-sdo-subida-2,SDO-subida-2,,gilles-141-sdo-subida-2/ruta.gpx,1.612,62,ausente,,,no,pendiente,tramo-corto|nombre-con-sufijo-numerico|sin-elevacion,4ea5677a20aae803c0e6c209d7baa52172b467cc39b2269eabdab43eba78dd82
142,gilles-142-sdo-vuelta-arriba,SDO-vuelta arriba,,gilles-142-sdo-vuelta-arriba/ruta.gpx,5.333,205,ausente,,,no,pendiente,sin-elevacion,c972cce72a7ab84e1966e950ce61c359eb8c5105382df5319b34d4cd2fda4b35
143,gilles-143-sj-sd-a-c,SJ-SD- A.C.,,gilles-143-sj-sd-a-c/ruta.gpx,3.625,36,ausente,,,no,pendiente,sin-elevacion,dfec71e3cd4c61807e296c68a2ed97c780561726b1e94a8f4ba66f0abf0f1626
144,gilles-144-sj-sd-por-la-cresta,SJ-SD-por la cresta,,gilles-144-sj-sd-por-la-cresta/ruta.gpx,3.807,58,ausente,,,no,pendiente,sin-elevacion,057a5adef7c425387b92ab951a898b36d00be16aad55aec84d8874915c120626
145,gilles-145-sje-a-c-al-df-por-las-cruces,SJE-A.C. al DF por las cruces,,gilles-145-sje-a-c-al-df-por-las-cruces/ruta.gpx,4.838,104,ausente,,,no,pendiente,sin-elevacion,7c064bbfa63f70fe09706139c85e062618cde5614f5823992b8a84b52e7e4216
146,gilles-146-sje-canada,SJE-cañada,,gilles-146-sje-canada/ruta.gpx,0.651,16,ausente,,,no,pendiente,tramo-corto|sin-elevacion,0a3e31f1cbfead724e459ce2c008624cfe6280e216bafe5b85e668b5687d365e
147,gilles-147-sje-por-el-arroyo,SJE-por el arroyo,,gilles-147-sje-por-el-arroyo/ruta.gpx,2.542,45,ausente,,,no,pendiente,sin-elevacion,bf5f1ea06b247c7f6897affc96b4ff8e0526c9aa6c6be113fe2f741e86e062fd
148,gilles-148-sje-por-el-magno,SJE-por el Magno,,gilles-148-sje-por-el-magno/ruta.gpx,1.908,70,ausente,,,no,pendiente,tramo-corto|sin-elevacion,27a7606014de503eab1985c4fdf64048925e84f2057d8d0d3b850f003768044a
